step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,t_average_density,agents_total_stopped,agents_total_accumulated_waiting_time,agents_average_density
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0
18.0,9,34.0,2.8333333333333335,3.4339915355820807,9,34.0,6.889671947361365e-05,0.05943994364212751,9,34.0,0.05943994364212751
36.0,13,149.0,7.45,3.503603875147512,13,149.0,0.13956631878804668,0.1122754491017964,13,149.0,0.1122754491017964
52.0,12,230.0,8.518518518518519,5.885628534236774,12,230.0,0.24655039560887476,0.13208876364917227,12,230.0,0.13208876364917227
68.0,15,227.0,7.566666666666666,6.563063722448381,15,227.0,0.2659930411653179,0.1386932018316309,15,227.0,0.1386932018316309
86.0,14,256.0,8.533333333333333,6.118008348654218,14,256.0,0.26238937575067206,0.14529764001408946,14,256.0,0.14529764001408946
104.0,15,305.0,9.242424242424242,6.778221020882216,15,305.0,0.3147535184369158,0.15190207819654808,15,305.0,0.15190207819654808
120.0,15,274.0,10.538461538461538,4.586190241502186,15,274.0,0.050185115847041634,0.11887988728425503,15,274.0,0.11887988728425503
136.0,13,225.0,7.758620689655173,5.72300070533921,13,225.0,0.14524532706725846,0.12548432546671365,13,225.0,0.12548432546671365
154.0,15,229.0,7.896551724137931,6.067383797494844,15,229.0,0.22276234279896467,0.13869320183163086,15,229.0,0.13869320183163086
172.0,13,256.0,8.533333333333333,5.6235683888967625,13,256.0,0.20855806656614947,0.13869320183163086,13,256.0,0.13869320183163086
188.0,14,256.0,8.827586206896552,5.647485189410108,14,256.0,0.1832128188596896,0.13208876364917227,14,256.0,0.13208876364917227
204.0,14,248.0,7.75,6.028607271086967,14,251.0,0.25179729782085497,0.1519020781965481,14,251.0,0.1519020781965481
222.0,15,275.0,8.333333333333334,6.802550481848052,15,275.0,0.3132596254119982,0.1585065163790067,15,275.0,0.1585065163790067
240.0,15,287.0,11.48,4.940085762368764,15,287.0,0.15795065499876793,0.11887988728425503,15,287.0,0.11887988728425503
256.0,13,224.0,8.296296296296296,5.854527136158124,13,224.0,0.1234663214076388,0.11887988728425503,13,224.0,0.11887988728425503
272.0,11,201.0,7.444444444444445,5.262747318806347,11,201.0,0.21920108754459072,0.13869320183163086,11,201.0,0.13869320183163086
290.0,15,287.0,9.258064516129032,5.515461590959707,15,287.0,0.24188300333423474,0.15190207819654808,15,287.0,0.15190207819654808
308.0,14,307.0,10.233333333333333,6.242268755797016,14,307.0,0.2502231480624162,0.13869320183163086,14,307.0,0.13869320183163086
324.0,13,300.0,9.67741935483871,6.267428198609633,13,303.0,0.3446181366526186,0.1585065163790067,13,303.0,0.1585065163790067
340.0,14,182.0,6.275862068965517,6.048514694031261,14,184.0,0.25828751877890865,0.13869320183163086,14,184.0,0.13869320183163086
